Id,Url,ImageUrl,ContentCreatedOn,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,DecimalPlaces,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,Taxonomy,Rating,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
903256,/coins/mrn/overview,/media/33842946/mrn.png,1528900176,MRN,MRN,Mercoin,Mercoin (MRN),Scrypt,PoW/PoS,0,100000000,N/A,N/A,0,N/A,N/A,2845,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,25330252.323,1026018.0,0,0.0,120.0
903282,/coins/fopa/overview,/media/33842947/fopa.jpg,1528902693,FOPA,FOPA,Fopacoin,Fopacoin (FOPA),N/A,N/A,0,100000000,7605,0x319b33456aa1248cC0E04B555c63c10B51423A5E,8,N/A,N/A,2846,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,100000000.0,0.0,0,0.0,0.0
903703,/coins/oot/overview,/media/33842952/oot.jpg,1528968462,OOT,OOT,Utrum,Utrum (OOT),N/A,N/A,0,216000000,26132,N/A,0,N/A,N/A,2849,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,216000205.754181,772633.0,0,0.0,0.0
903748,/coins/nbc/overview,/media/33842955/nbc.jpg,1528974900,NBC,NBC,Niobium,Niobium (NBC),N/A,N/A,0,102289706,7605,0x9f195617fa8fbad9540c5d113a99a0a0172aaedc,18,N/A,N/A,2851,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,102289706.277845,0.0,0,0.0,0.0
903811,/coins/sic/overview,/media/33842956/sic.jpg,1528981693,SIC,SIC,Swisscoin,Swisscoin (SIC),Scrypt,PoW/PoS,0,10200000000,N/A,N/A,0,N/A,N/A,2852,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,0.0,0.0,0,0.0,30.0
903863,/coins/pi/overview,/media/33842959/pai.png,1528986037,PI,PI,PCHAIN,PCHAIN (PI),N/A,N/A,0,2100000000,7605,0xb9bb08ab7e9fa0a1356bd4a39ec0ca267e03b0b3,18,N/A,N/A,2854,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,461000000.0,0.0,0,0.0,0.0
904319,/coins/excc/overview,/media/33842976/excc.jpg,1529059895,EXCC,EXCC,ExchangeCoin,ExchangeCoin (EXCC),Equihash,PoW,0,32000000,N/A,N/A,0,N/A,N/A,2855,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,0.0,109133.0,0,0.0,150.0
904410,/coins/rel/overview,/media/33842979/rel.jpg,1529073046,REL,REL,Reliance,Reliance (REL),X11,PoS,0,62000000,N/A,N/A,0,N/A,N/A,2857,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,7256580.0,214465.0,0,20.0,60.0
905744,/coins/hero/overview,/media/33957376/hero.jpg,1529334041,HERO,HERO,Hero,Hero (HERO),N/A,N/A,0,14765425,7605,0x02585e4a14da274d02df09b222d4606b10a4e940,18,N/A,N/A,2859,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",True,14765425.2487157,0.0,0,0.0,0.0
906122,/coins/ejac/overview,/media/33957381/eja.jpg,1529401199,EJAC,EJAC,EJA Coin,EJA Coin (EJAC),N/A,N/A,0,250000000,7605,N/A,0,N/A,N/A,2861,False,"{'Access': '', 'FCA': '', 'FINMA': '', 'Industry': '', 'CollateralizedAsset': '', 'CollateralizedAssetType': '', 'CollateralType': '', 'CollateralInfo': ''}","{'Weiss': {'Rating': '', 'TechnologyAdoptionRating': '', 'MarketPerformanceRating': ''}}",False,,,,,
